Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.006458333,6.795,0.183,11.63065417
0,0.081583333,14.35,0.183,11.63065417
0,0.080416667,13.29,0.18625,11.63065417
0,0.017125,11.4,0.21275,11.63065417
0,0.063208333,13.7,0.24175,11.63065417
0,0.047541667,12.59,0.25,11.63065417
0,0.047833333,11.21,0.24025,11.63065417
0,0.076,12.29,0.2205,11.63065417
0,0.054833333,12.22,0.20375,11.63065417
0,0.085875,12.84,0.19325,11.63065417
0,0.081583333,5.508,0.185,11.63065417
0,0.081583333,6.395,0.17925,11.63065417
0,0.081583333,6.095,0.17175,11.63065417
0,0.080416667,6.575,0.16925,11.63065417
0,0.080416667,7.19,0.16425,11.63065417
0,0.080416667,8.44,0.162,11.63065417
0,0.080416667,9.19,0.159,11.63065417
0,0.080416667,9.84,0.159,11.63065417
0,0.080416667,11.26,0.159,11.63065417
0,0.080416667,13.29,0.159,11.63065417
0,0.080416667,13.02,0.16225,11.63065417
0,0.080416667,4.971,0.1875,11.63065417
0,0.080416667,4.539,0.20075,11.63065417
0,0.017125,4.559,0.19575,11.63065417
0,0.091916667,13.84,0.18825,11.63065417
0,0.015,15.82,0.18175,11.63065417
0,0.076916667,15.48,0.178,11.63065417
0,0.053583333,13.79,0.1755,11.63065417
0,0.077541667,11.45,0.173,11.63065417
0,0.052541667,11.63,0.173,11.63065417
0,0.072,11.41,0.173,11.63065417
0,0.040625,9.49,0.17425,11.63065417
0,0.040041667,10.2,0.178,11.63065417
0,0.045666667,8.51,0.178,11.63065417
0,0.015,8.94,0.17925,11.63065417
0,0.015,11.29,0.183,11.63065417
0,0.015,10.54,0.183,11.63065417
0,0.076916667,8.83,0.183,11.63065417
0,0.076916667,7.58,0.183,11.63065417
0,0.076916667,8.8,0.183,11.63065417
0,0.076916667,11.98,0.18175,11.63065417
0,0.076916667,11.88,0.17925,11.63065417
0,0.076916667,13.41,0.178,11.63065417
0,0.076916667,15.48,0.178,11.63065417
0,0.076916667,6.203,0.178,11.63065417
0,0.076916667,8.59,0.178,11.63065417
0,0.076916667,8.07,0.178,11.63065417
0,0.053583333,8.03,0.183,11.63065417
0,0.0425,7.15,0.183,11.63065417
0,0,13.81,0.183,11.63065417
0,0.007791667,13.97,0.178,11.63065417
0,0.086083333,13.77,0.17425,11.63065417
0,0.086083333,11.37,0.16925,11.63065417
0,0.086083333,11.08,0.168,11.63065417
0,0.086083333,10.58,0.168,11.63065417
0,0.086083333,12.6,0.1705,11.63065417
0,0.086083333,15.8,0.1755,11.63065417
0,0.086083333,15.94,0.18175,11.63065417
0,0.007791667,17.25,0.183,11.63065417
0,0.007791667,18.98,0.17925,11.63065417
0,0.007791667,18.5,0.178,11.63065417
0,0.007791667,19.01,0.1755,11.63065417
0,0.007791667,20.62,0.173,11.63065417
0,0.007791667,18.48,0.17175,11.63065417
0,0.007791667,18.2,0.1705,11.63065417
0,0.007791667,17.57,0.16925,11.63065417
0,0.007791667,16.07,0.173,11.63065417
0,0.007791667,15.87,0.173,11.63065417
0,0.007791667,13.93,0.173,11.63065417
0,0.007791667,12.51,0.173,11.63065417
0,0.007791667,11.33,0.173,11.63065417
0,0.086083333,9.59,0.173,11.63065417
0,0.086083333,5.57,0.1755,11.63065417
0,0.086083333,6.092,0.173,11.63065417
0,0.086083333,5.081,0.173,11.63065417
0,0.109333333,5.619,0.178,11.63065417
0,0.109333333,3.813,0.178,11.63065417
0,0.109333333,2.864,0.178,11.63065417
0,0.109333333,3.234,0.178,11.63065417
0,0.109333333,6.669,0.178,11.63065417
0,0.109333333,10.98,0.18175,11.63065417
0,0.109333333,12.69,0.18175,11.63065417
0,0.086083333,14.36,0.178,11.63065417
0,0.086083333,14.57,0.178,11.63065417
0,0.086083333,16.22,0.178,11.63065417
0,0.086083333,16.39,0.178,11.63065417
0,0.086083333,16.92,0.178,11.63065417
0,0.086083333,17.12,0.178,11.63065417
0,0.086083333,17.36,0.178,11.63065417
0,0.086083333,16.25,0.178,11.63065417
0,0.086083333,14.46,0.178,11.63065417
0,0.086083333,11.46,0.178,11.63065417
0,0.086083333,8.82,0.178,11.63065417
0,0.086083333,6.42,0.18175,11.63065417
0,0.086083333,6.391,0.183,11.63065417
0,0.109333333,5.09,0.183,11.63065417
0,0.109333333,4.898,0.183,11.63065417
0,0.109333333,5.506,0.183,11.63065417
0,0.109333333,3.505,0.183,11.63065417
0,0.104708333,4.548,0.183,11.63065417
0,0.104708333,3.418,0.183,11.63065417
0,0.104708333,2.991,0.184,11.63065417
0,0.104708333,3.004,0.187,11.63065417
0,0.104708333,5.999,0.187,11.63065417
0,0.104708333,10.14,0.187,11.63065417
0,0.104708333,12.35,0.187,11.63065417
0,0.109333333,13.47,0.187,11.63065417
0,0.109333333,14.45,0.187,11.63065417
0,0.109333333,14.65,0.187,11.63065417
0,0.109333333,16.58,0.186,11.63065417
0,0.109333333,16.11,0.184,11.63065417
0,0.109333333,16.73,0.183,11.63065417
0,0.109333333,16.66,0.183,11.63065417
0,0.109333333,15.96,0.183,11.63065417
